,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.4375,0.5416666666666666,0.5416666666666666,0.42708333333333337,0.48958333333333337,0.4479166666666667,0.5416666666666667,0.5208333333333334,0.53125,0.45833333333333337,0.53125,0.5208333333333334
CC,0.4765625,,0.578125,0.4765625,0.5546875,0.5625,0.578125,0.5,0.515625,0.5,0.5390625,0.5625,0.46875
CG,0.4791666666666667,0.5416666666666666,,0.48958333333333337,0.5625,0.5,0.5833333333333334,0.5729166666666667,0.59375,0.5,0.5208333333333334,0.5416666666666667,0.5416666666666666
GD,0.625,0.390625,0.5,,0.484375,0.578125,0.484375,0.53125,0.546875,0.578125,0.546875,0.59375,0.59375
JM,0.48958333333333337,0.59375,0.5625,0.44791666666666674,,0.5729166666666666,0.5833333333333333,0.5416666666666667,0.6354166666666666,0.46875000000000006,0.5416666666666666,0.5104166666666666,0.44791666666666674
JR,0.5,0.5416666666666667,0.5416666666666666,0.44791666666666674,0.5729166666666666,,0.5729166666666666,0.6145833333333333,0.59375,0.53125,0.5625,0.625,0.5520833333333334
JS,0.53125,0.5520833333333334,0.6145833333333334,0.5104166666666666,0.5833333333333334,0.53125,,0.6041666666666667,0.6145833333333334,0.53125,0.5208333333333334,0.6041666666666666,0.4791666666666667
ML,0.5520833333333334,0.5416666666666667,0.5416666666666667,0.5104166666666666,0.53125,0.5416666666666666,0.53125,,0.6041666666666666,0.53125,0.53125,0.53125,0.53125
NL,0.5078125,0.546875,0.5078125,0.453125,0.53125,0.5234375,0.53125,0.5234375,,0.5,0.5078125,0.53125,0.515625
RK,0.5208333333333333,0.5520833333333333,0.4479166666666667,0.5416666666666666,0.5208333333333334,0.5520833333333334,0.48958333333333337,0.5416666666666667,0.5208333333333334,,0.5,0.53125,0.5104166666666667
SC,0.5234375,0.578125,0.515625,0.5703125,0.546875,0.5390625,0.4921875,0.515625,0.5390625,0.515625,,0.5625,0.5546875
TP,0.5729166666666667,0.5,0.4479166666666667,0.5625,0.4583333333333333,0.5208333333333334,0.4895833333333333,0.53125,0.5416666666666667,0.4583333333333333,0.5000000000000001,,0.48958333333333337
YY,0.4765625,0.46875,0.5078125,0.515625,0.5234375,0.5546875,0.5,0.5234375,0.5390625,0.546875,0.5,0.53125,
