,AT,CC,CG,GD,JM,JR,JS,ML,NL,RK,SC,TP,YY
AT,,0.5625,0.75,0.625,0.6666666666666666,0.75,0.8333333333333334,0.75,0.75,0.75,0.6875,0.75,0.625
CC,0.8333333333333334,,0.8333333333333334,0.625,0.6666666666666666,0.75,0.6666666666666666,0.8333333333333334,0.75,0.75,0.75,0.6666666666666666,0.625
CG,0.75,0.625,,0.625,0.6666666666666666,0.75,0.75,0.9166666666666666,0.75,0.75,0.75,0.9166666666666666,0.625
GD,0.8333333333333334,0.625,0.8333333333333334,,0.6666666666666666,0.75,0.8333333333333334,0.75,0.75,0.75,0.75,0.8333333333333334,0.625
JM,0.75,0.5625,0.8333333333333334,0.625,,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.75,0.9166666666666666,0.625
JR,0.75,0.5625,0.8333333333333334,0.625,0.6666666666666666,,0.9166666666666666,0.8333333333333334,0.8125,0.75,0.6875,0.75,0.625
JS,0.75,0.5625,0.75,0.625,0.6666666666666666,0.75,,0.8333333333333334,0.8125,0.8333333333333334,0.6875,0.75,0.625
ML,0.75,0.5625,0.8333333333333334,0.75,0.6666666666666666,0.75,0.8333333333333334,,0.8125,0.75,0.625,0.75,0.625
NL,0.75,0.625,0.6666666666666666,0.625,0.6666666666666666,0.75,0.75,0.8333333333333334,,0.6666666666666666,0.625,0.8333333333333334,0.625
RK,0.75,0.625,0.75,0.625,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.75,,0.75,0.75,0.625
SC,0.75,0.5625,0.75,0.75,0.6666666666666666,0.75,0.75,0.75,0.8125,0.75,,0.75,0.6875
TP,0.8333333333333334,0.5625,0.75,0.75,0.6666666666666666,0.75,0.75,0.8333333333333334,0.75,0.75,0.75,,0.625
YY,0.75,0.5625,0.8333333333333334,0.625,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,0.6875,0.75,0.6875,0.8333333333333334,
