,AT/CC,AT/CG,AT/GD,AT/JM,AT/JR,AT/JS,AT/ML,AT/NL,AT/RK,AT/SC,AT/TP,AT/YY,CC/CG,CC/GD,CC/JM,CC/JR,CC/JS,CC/ML,CC/NL,CC/RK,CC/SC,CC/TP,CC/YY,CG/GD,CG/JM,CG/JR,CG/JS,CG/ML,CG/NL,CG/RK,CG/SC,CG/TP,CG/YY,GD/JM,GD/JR,GD/JS,GD/ML,GD/NL,GD/RK,GD/SC,GD/TP,GD/YY,JM/JR,JM/JS,JM/ML,JM/NL,JM/RK,JM/SC,JM/TP,JM/YY,JR/JS,JR/ML,JR/NL,JR/RK,JR/SC,JR/TP,JR/YY,JS/ML,JS/NL,JS/RK,JS/SC,JS/TP,JS/YY,ML/NL,ML/RK,ML/SC,ML/TP,ML/YY,NL/RK,NL/SC,NL/TP,NL/YY,RK/SC,RK/TP,RK/YY,SC/TP,SC/YY,TP/YY
AT,,,,,,,,,,,,,0.7142857142857143,0.6666666666666666,0.6785714285714286,0.7142857142857143,0.6428571428571429,0.6785714285714286,0.65625,0.7142857142857143,0.625,0.7142857142857143,0.65625,0.8,0.6666666666666666,0.75,0.7083333333333334,0.7916666666666666,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.75,0.7,0.7,0.7,0.75,0.7083333333333334,0.75,0.7916666666666666,0.8,0.75,0.6666666666666666,0.5833333333333334,0.75,0.6071428571428571,0.7083333333333334,0.6785714285714286,0.7083333333333334,0.6785714285714286,0.7083333333333334,0.7083333333333334,0.6428571428571429,0.7083333333333334,0.7142857142857143,0.75,0.6785714285714286,0.7083333333333334,0.6428571428571429,0.625,0.6428571428571429,0.7083333333333334,0.6785714285714286,0.75,0.7916666666666666,0.75,0.875,0.7857142857142857,0.6785714285714286,0.65625,0.7142857142857143,0.6875,0.75,0.875,0.7142857142857143,0.7142857142857143,0.6875,0.7857142857142857
CC,,0.75,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.6785714285714286,0.7083333333333334,0.6428571428571429,0.7916666666666666,0.7142857142857143,,,,,,,,,,,,0.85,0.7083333333333334,0.75,0.7083333333333334,0.875,0.75,0.8333333333333334,0.7142857142857143,0.875,0.75,0.65,0.7,0.65,0.8,0.75,0.8,0.75,0.8,0.75,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.6785714285714286,0.75,0.6428571428571429,0.7083333333333334,0.6428571428571429,0.7083333333333334,0.6666666666666666,0.6071428571428571,0.7083333333333334,0.7142857142857143,0.7083333333333334,0.6785714285714286,0.6666666666666666,0.7142857142857143,0.625,0.6428571428571429,0.625,0.6785714285714286,0.75,0.7916666666666666,0.7142857142857143,0.8333333333333334,0.75,0.7142857142857143,0.65625,0.6785714285714286,0.65625,0.6428571428571429,0.7916666666666666,0.6785714285714286,0.6785714285714286,0.6875,0.7857142857142857
CG,0.6071428571428571,,0.7,0.625,0.7083333333333334,0.625,0.75,0.6428571428571429,0.6666666666666666,0.6785714285714286,0.75,0.6428571428571429,,0.7083333333333334,0.7142857142857143,0.6785714285714286,0.6428571428571429,0.7142857142857143,0.65625,0.7142857142857143,0.625,0.7142857142857143,0.6875,,,,,,,,,,,0.65,0.7,0.65,0.75,0.7083333333333334,0.75,0.75,0.75,0.75,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6071428571428571,0.6666666666666666,0.6428571428571429,0.6666666666666666,0.6428571428571429,0.7083333333333334,0.7083333333333334,0.6428571428571429,0.6666666666666666,0.7142857142857143,0.7083333333333334,0.6785714285714286,0.625,0.6428571428571429,0.6666666666666666,0.6428571428571429,0.6666666666666666,0.6785714285714286,0.7142857142857143,0.7916666666666666,0.75,0.8333333333333334,0.7142857142857143,0.6785714285714286,0.6875,0.7142857142857143,0.71875,0.75,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.6875,0.75
GD,0.6785714285714286,0.75,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.6785714285714286,0.75,0.6785714285714286,0.7916666666666666,0.75,0.8571428571428571,,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.65625,0.7142857142857143,0.65625,0.7142857142857143,0.6875,,0.75,0.75,0.7083333333333334,0.8333333333333334,0.7857142857142857,0.7916666666666666,0.75,0.8333333333333334,0.8214285714285714,,,,,,,,,,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.6428571428571429,0.75,0.6785714285714286,0.7083333333333334,0.6428571428571429,0.7083333333333334,0.7083333333333334,0.6785714285714286,0.6666666666666666,0.7142857142857143,0.7083333333333334,0.6785714285714286,0.6666666666666666,0.6071428571428571,0.6666666666666666,0.6428571428571429,0.7083333333333334,0.6785714285714286,0.75,0.7916666666666666,0.75,0.8333333333333334,0.7857142857142857,0.7142857142857143,0.65625,0.7142857142857143,0.75,0.75,0.8333333333333334,0.6785714285714286,0.7142857142857143,0.71875,0.7857142857142857
JM,0.75,0.75,0.75,,0.7083333333333334,0.6666666666666666,0.75,0.6785714285714286,0.7083333333333334,0.6785714285714286,0.75,0.7142857142857143,0.8214285714285714,0.75,,0.7142857142857143,0.6428571428571429,0.75,0.65625,0.75,0.625,0.75,0.65625,0.8,,0.7916666666666666,0.7083333333333334,0.7916666666666666,0.6785714285714286,0.875,0.75,0.875,0.75,,0.7,0.65,0.8,0.6666666666666666,0.75,0.75,0.8,0.75,,,,,,,,,0.7083333333333334,0.7083333333333334,0.6428571428571429,0.6666666666666666,0.7142857142857143,0.7083333333333334,0.6785714285714286,0.6666666666666666,0.6071428571428571,0.625,0.6428571428571429,0.7083333333333334,0.6785714285714286,0.7142857142857143,0.7916666666666666,0.7857142857142857,0.8333333333333334,0.7857142857142857,0.6785714285714286,0.6875,0.7142857142857143,0.65625,0.7142857142857143,0.7916666666666666,0.6785714285714286,0.75,0.75,0.7857142857142857
JR,0.6428571428571429,0.7083333333333334,0.75,0.6666666666666666,,0.7083333333333334,0.75,0.7142857142857143,0.7083333333333334,0.6785714285714286,0.75,0.7142857142857143,0.7857142857142857,0.6666666666666666,0.6785714285714286,,0.6428571428571429,0.7142857142857143,0.6875,0.6785714285714286,0.59375,0.7142857142857143,0.625,0.9,0.75,,0.7083333333333334,0.875,0.8571428571428571,0.7916666666666666,0.7142857142857143,0.8333333333333334,0.7857142857142857,0.7,,0.65,0.75,0.75,0.7,0.7083333333333334,0.8,0.75,,0.625,0.75,0.6785714285714286,0.7083333333333334,0.6785714285714286,0.6666666666666666,0.6785714285714286,,,,,,,,0.7083333333333334,0.75,0.625,0.6071428571428571,0.625,0.6785714285714286,0.7857142857142857,0.8333333333333334,0.75,0.7916666666666666,0.7857142857142857,0.75,0.71875,0.6785714285714286,0.75,0.7142857142857143,0.75,0.6785714285714286,0.75,0.75,0.7142857142857143
JS,0.7142857142857143,0.7916666666666666,0.75,0.6666666666666666,0.7083333333333334,,0.75,0.7142857142857143,0.75,0.7142857142857143,0.7916666666666666,0.75,0.7857142857142857,0.7083333333333334,0.6785714285714286,0.6785714285714286,,0.7142857142857143,0.65625,0.7142857142857143,0.65625,0.6428571428571429,0.6875,0.8,0.7083333333333334,0.75,,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.75,0.8333333333333334,0.8214285714285714,0.65,0.7,,0.75,0.7083333333333334,0.75,0.7083333333333334,0.8,0.75,0.6666666666666666,,0.7083333333333334,0.6071428571428571,0.7083333333333334,0.6785714285714286,0.7083333333333334,0.6785714285714286,,0.7083333333333334,0.7142857142857143,0.7083333333333334,0.7142857142857143,0.7083333333333334,0.7142857142857143,,,,,,,0.75,0.8333333333333334,0.75,0.8333333333333334,0.7857142857142857,0.75,0.6875,0.6785714285714286,0.65625,0.7857142857142857,0.7916666666666666,0.7142857142857143,0.75,0.75,0.7857142857142857
ML,0.7142857142857143,0.75,0.75,0.7083333333333334,0.7083333333333334,0.6666666666666666,,0.7142857142857143,0.75,0.6785714285714286,0.7916666666666666,0.75,0.75,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.6071428571428571,,0.65625,0.7142857142857143,0.625,0.7142857142857143,0.65625,0.8,0.6666666666666666,0.75,0.7083333333333334,,0.75,0.7916666666666666,0.7857142857142857,0.7916666666666666,0.8214285714285714,0.65,0.7,0.65,,0.7083333333333334,0.75,0.75,0.8,0.75,0.6666666666666666,0.5833333333333334,,0.6428571428571429,0.7083333333333334,0.6785714285714286,0.7083333333333334,0.6785714285714286,0.7083333333333334,,0.6428571428571429,0.6666666666666666,0.7142857142857143,0.7083333333333334,0.6785714285714286,,0.6428571428571429,0.6666666666666666,0.6785714285714286,0.6666666666666666,0.6785714285714286,,,,,,0.7857142857142857,0.71875,0.6785714285714286,0.71875,0.75,0.8333333333333334,0.6785714285714286,0.6785714285714286,0.75,0.8214285714285714
NL,0.6785714285714286,0.75,0.7,0.75,0.7083333333333334,0.7083333333333334,0.8333333333333334,,0.7083333333333334,0.7142857142857143,0.7916666666666666,0.6785714285714286,0.7142857142857143,0.6666666666666666,0.6071428571428571,0.7142857142857143,0.6071428571428571,0.7142857142857143,,0.7142857142857143,0.59375,0.6428571428571429,0.65625,0.75,0.6666666666666666,0.75,0.7083333333333334,0.8333333333333334,,0.8333333333333334,0.8214285714285714,0.75,0.75,0.65,0.7,0.65,0.75,,0.85,0.7916666666666666,0.8,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.7083333333333334,,0.75,0.6785714285714286,0.7083333333333334,0.6071428571428571,0.7083333333333334,0.7083333333333334,,0.7083333333333334,0.7142857142857143,0.75,0.6785714285714286,0.6666666666666666,,0.6666666666666666,0.6428571428571429,0.6666666666666666,0.6428571428571429,,0.8333333333333334,0.7857142857142857,0.7916666666666666,0.75,,,,,0.7857142857142857,0.8333333333333334,0.6785714285714286,0.75,0.71875,0.75
RK,0.6785714285714286,0.7916666666666666,0.7,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.75,0.6785714285714286,,0.6785714285714286,0.75,0.75,0.7857142857142857,0.7083333333333334,0.6785714285714286,0.7142857142857143,0.6428571428571429,0.75,0.65625,,0.59375,0.6785714285714286,0.65625,0.8,0.7083333333333334,0.75,0.7083333333333334,0.8333333333333334,0.7857142857142857,,0.7857142857142857,0.8333333333333334,0.8214285714285714,0.7,0.7,0.65,0.8,0.75,,0.7083333333333334,0.8,0.75,0.6666666666666666,0.625,0.7083333333333334,0.6428571428571429,,0.6428571428571429,0.7083333333333334,0.6785714285714286,0.7083333333333334,0.7083333333333334,0.6428571428571429,,0.7142857142857143,0.7083333333333334,0.6785714285714286,0.6666666666666666,0.6071428571428571,,0.6785714285714286,0.6666666666666666,0.6785714285714286,0.7857142857142857,,0.75,0.8333333333333334,0.7857142857142857,,0.71875,0.7142857142857143,0.71875,,,,0.7857142857142857,0.71875,0.7857142857142857
